DISTRIBUTOR,DIST_SKU CODE,DIST_SKU NAME,iNova_GL SKU Code,iNova_ID SKU NAME,iNova_GL CATEGORY,iNova_ID SUB CATEGORY,iNova_Finance_Code,iNova_SKU_Status,Short Desc
DMA,SBTSB,(*)BETADINE STICK 10 SCH,NA,BETADINE STICK ANTISEPTIC 10 PACK,WOUND,STICK ANTISEPTIC,UPL10S,DISCONTINUE,STICK
DMA,SBTSZ,(*)BETADINE STICK 1 SCH 2,NA,BETADINE STICK ANTISEPTIC 10 PACK,WOUND,STICK ANTISEPTIC,UPL10S,DISCONTINUE,STICK
DMA,LBCLA,BETADINE CLEAR SPRAY 30ML ID,105935,BETADINE CLEAR SPRAY 30 ML,WOUND,CLEAR,,NEW PRODUCT,CLEAR SPRAY 30
DMA,EBCLA,BETADINE CLEAR GEL 10ML ID,105936,BETADINE CLEAR GEL 10 ML,WOUND,CLEAR,,NEW PRODUCT,CLEAR GEL 10
PPG,420022,BETADINE VAG DOUCHE 100 ML TA,105446,BETADINE VAGINAL DOUCHE 100ML (TA),FEMININE,PVPI DOUCHE,IT-00080,DISCONTINUE,VD 100
PPG,420023-MM,BETADINE VAG DOUCHE 225 ML-MT,105446,BETADINE VAGINAL DOUCHE 225ML,FEMININE,PVPI DOUCHE,IT-00083,DISCONTINUE,VD 225
PPG,K40001,BETADINE DRY POWDER SPRAY 55G,105409,BETADINE DRY POWDER SPRAY 55GR,WOUND,POWDER SPRAY,IT-02784,DISCONTINUE,POWDER SPRAY 55
PPG,K40003,BETADINE FEM  FOAM ODOUR 100ML,104810,BETADINE FW FOAM ODOUR 100ML,FEMININE,ANGELA FOAM,IT-02790,DISCONTINUE,FOAM ODOUR 100
PPG,K40005,BETADINE FEM  FOAM MOIST 100ML,105025,BETADINE FW FOAM MOIST 100ML,FEMININE,ANGELA FOAM,IT-02791,DISCONTINUE,FOAM MOIST 100
PPG,K40006,BETADINE FEM  LIQUID GENTLE50ML,104816,BETADINE FW FOAM GENTLE 50ML,FEMININE,ANGELA FOAM,IT-02786,DISCONTINUE,FOAM GENTLE 50
PPG,K40012,BETADINE HW HONEY POC 200ML,105539,BETADINE BW HONEY MANUKA 200ML,WOUND,SKIN BODYWASH,IT-02795,DISCONTINUE,HONEY MANUKA 200
PPG,K40013,BETADINE BW HONEY 500ML,105248,BETADINE BW HONEY MANUKA 500ML,WOUND,SKIN BODYWASH,IT-02799,DISCONTINUE,HONEY MANUKA 500
PPG,K40014,BETADINE BW HONEY POC 400ML,105248,BETADINE BW HONEY MANUKA 400ML,WOUND,SKIN BODYWASH,IT-02797,DISCONTINUE,HONEY MANUKA 400
PPG,K40016,BETADINE BW POMEGRANATE 500ML,105454,BETADINE BW POMEGRANATE 500ML,WOUND,SKIN BODYWASH,IT-02800,DISCONTINUE,BW POMEGRANATE 500
PPG,K40018,BETADINE BW POMEGRANATE 200ML,104811,BETADINE BW POMEGRANATE 200ML,WOUND,SKIN BODYWASH,IT-02796,DISCONTINUE,BW POMEGRANATE 200
PPG,K40027,BETADINE SABUN CAIR 60 ML,105476,BETADINE SKIN CLEANSER 60ML,SKIN,SKIN CLEANSER,IT-00073,NEW PRODUCT,BSC 60
PPG,420011,BETADINE SABUN CAIR 60 ML,105476,BETADINE SKIN CLEANSER 60ML,SKIN,SKIN CLEANSER,IT-00073,NEW PRODUCT,BSC 60
PPG,420022-MM,BETADINE VAG DOUCHE 100 ML TA-MT,105446,BETADINE VAGINAL DOUCHE 100ML (TA),FEMININE,PVPI DOUCHE,IT-00080,DISCONTINUE,VD 100
PPG,K40007,BETADINE FEM  LIQUID FRESH 50ML,104814,BETADINE FW FOAM FRESH 50ML,FEMININE,ANGELA FOAM,IT-02787,DISCONTINUE,FOAM FRESH 50
PPG,K40011,BETADINE HW HONEY 225ML,105539,BETADINE BW HONEY MANUKA 200ML,WOUND,SKIN BODYWASH,NA,DISCONTINUE,HONEY MANUKA 200
PPG,K40015,BETADINE BW HONEY 200ML,105539,BETADINE BW HONEY MANUKA 200ML,WOUND,SKIN BODYWASH,IT-02795,DISCONTINUE,HONEY MANUKA 200
PPG,K40017,BETADINE BW POMEGRANATE POC400ML,105452,BETADINE BW POMEGRANATE 400ML,WOUND,SKIN BODYWASH,IT-02798,DISCONTINUE,BW POMEGRANATE 400
PPG,K40029,BETADINE STICK SACHET 10'S,NA,BETADINE STICK ANTISEPTIC 10 PACK,WOUND,STICK ANTISEPTIC,UPL10S,DISCONTINUE,STICK
PPG,K40033,BETADINE SABUN CAIR 1000 ML,105445,BETADINE SKIN CLEANSER 1L,SKIN,SKIN CLEANSER,IT-00075,DISCONTINUE,BSC 1L
